Название облигации;ISIN;Дата размещения;Дата погашения;Ставка купона;Рейтинг;Цвет рейтинга;Ссылка
ДельтаЛизинг-001P-02;RU000A10B0J3;2025-03-06;2028-02-19;24.0%;A+;Желтый;https://bonds.finam.ru/issue/details03F92/default.asp
ДельтаЛизинг-001P-01;RU000A109U06;2024-10-22;2027-10-07;24.34%;A+;Желтый;https://bonds.finam.ru/issue/details03DBA/default.asp
Российский экологический оператор-02;RU000A106169;2023-03-30;2032-12-18;10.85%;A+;Желтый;https://bonds.finam.ru/issue/details0361E/default.asp
Российский экологический оператор-01;RU000A105RW1;2023-01-25;2032-12-17;10.5%;A+;Желтый;https://bonds.finam.ru/issue/details03526/default.asp
СФО РУСОЛ 1-В;RU000A101D96;2020-02-12;2031-02-15;16.016%;A+;Желтый;https://bonds.finam.ru/issue/details02773/default.asp
СФО РУСОЛ 1-Б;RU000A101DB4;2020-02-12;2031-02-15;13.516%;A+;Желтый;https://bonds.finam.ru/issue/details02772/default.asp
СФО РУСОЛ 1-А;RU000A101DA6;2020-02-12;2031-02-15;9.516%;A+;Желтый;https://bonds.finam.ru/issue/details02771/default.asp
ПИК СЗ-БО-П04;RU000A0ZZ1M2;2018-04-06;2028-03-24;7.75%;A+;Желтый;https://bonds.finam.ru/issue/details021A3/default.asp
ГК Самолет-БО-П16;RU000A10BFX7;2025-04-22;2028-04-06;25.5%;A;Желтый;https://bonds.finam.ru/issue/details040A0/default.asp
ИНАРКТИКА-002Р-02;RU000A10B8R9;2025-04-07;2028-04-03;19.0%;A;Желтый;https://bonds.finam.ru/issue/details04048/default.asp
Интерлизинг-001P-11;RU000A10B4A4;2025-03-20;2029-02-27;24.0%;A;Желтый;https://bonds.finam.ru/issue/details03F99/default.asp
Уралкалий-ПБО-07-P;RU000A10AYM3;2025-02-24;2028-06-26;22.8%;A;Желтый;https://bonds.finam.ru/issue/details03F9B/default.asp
СФО Сплит Финанс 1-01;RU000A10AAQ4;2024-12-12;2028-12-27;25.0%;A;Желтый;https://bonds.finam.ru/issue/details03E55/default.asp
Интерлизинг-001P-10;RU000A10A4N8;2024-11-22;2027-11-07;25.5%;A;Желтый;https://bonds.finam.ru/issue/details03E3E/default.asp
Интерлизинг-001P-09;RU000A109DV5;2024-09-03;2027-08-19;20.6%;A;Желтый;https://bonds.finam.ru/issue/details03CCD/default.asp
Элемент Лизинг-001P-09;RU000A1092S9;2024-07-25;2027-07-10;18.5%;A;Желтый;https://bonds.finam.ru/issue/details03C70/default.asp
Практика ЛК-001P-03;RU000A108Z77;2024-07-12;2027-08-02;18.6%;A;Желтый;https://bonds.finam.ru/issue/details03C47/default.asp
А101-БО-001Р-01;RU000A108KU4;2024-05-31;2027-05-16;17.0%;A;Желтый;https://bonds.finam.ru/issue/details03BC5/default.asp
Каршеринг Руссия-001P-03;RU000A106UW3;2023-09-08;2027-08-18;13.7%;A;Желтый;https://bonds.finam.ru/issue/details03845/default.asp
Первое клиентское бюро-001Р-07;RU000A10BGU1;2025-04-25;2028-04-09;24.5%;A-;Желтый;https://bonds.finam.ru/issue/details0408B/default.asp
Новосибирскавтодор-БО-03;RU000A10B461;2025-03-20;2028-03-04;26.0%;A-;Желтый;https://bonds.finam.ru/issue/details03F68/default.asp
ЕвроТранс-БО-001Р-06;RU000A10ATS0;2025-02-07;2030-01-12;25.0%;A-;Желтый;https://bonds.finam.ru/issue/details03F27/default.asp
Первое клиентское бюро-001Р-06;RU000A10A414;2024-11-20;2027-11-07;26.0%;A-;Желтый;https://bonds.finam.ru/issue/details03E27/default.asp
ЕвроТранс-БО-001Р-05;RU000A10A141;2024-11-11;2029-10-16;25.0%;A-;Желтый;https://bonds.finam.ru/issue/details03DF7/default.asp
ЕвроТранс-БО-001Р-04;RU000A10A133;2024-11-11;2029-10-16;15.0%;A-;Желтый;https://bonds.finam.ru/issue/details03DF6/default.asp
ЯТЭК-001Р-04;RU000A109NF7;2024-09-30;2027-09-17;21.5%;A-;Желтый;https://bonds.finam.ru/issue/details03D24/default.asp
Первое клиентское бюро-001Р-05;RU000A108U72;2024-06-26;2028-06-07;19.0%;A-;Желтый;https://bonds.finam.ru/issue/details03C15/default.asp
ЕвроТранс-002Р-02;RU000A108D81;2024-05-02;2031-03-27;17.0%;A-;Желтый;https://bonds.finam.ru/issue/details03B75/default.asp
ЕвроТранс-002Р-01;RU000A1082G5;2024-03-19;2031-02-11;17.0%;A-;Желтый;https://bonds.finam.ru/issue/details03AC4/default.asp
Роделен-002P-03;RU000A10B2F7;2025-03-13;2030-02-15;25.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03FB3/default.asp
Воксис-001Р-02;RU000A10B222;2025-03-12;2029-02-19;26.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03FF4/default.asp
ТГК-14-001Р-05;RU000A10AS02;2025-01-30;2029-01-09;24.75%;BBB+;Желтый;https://bonds.finam.ru/issue/details03F18/default.asp
Воксис-001Р-01;RU000A10AC67;2024-12-25;2028-12-04;28.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03EC3/default.asp
ТГК-14-001Р-03;RU000A10AEF9;2024-12-19;2028-06-01;26.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03E9C/default.asp
Медицинский центр Поликлиника.ру-БО-01;RU000A109MH5;2024-09-26;2027-09-11;22.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03D25/default.asp
РОЛЬФ-001Р-03;RU000A109LC8;2024-09-24;2027-09-09;22.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03D35/default.asp
Роделен-002P-02;RU000A107SA1;2024-02-13;2028-01-23;18.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03A7A/default.asp
